DATE,AWND,CDSD,CLDD,DP01,DP10,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,HTDD,PRCP,PSUN,SNOW,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WSF1,WSF2,WSF5,WSFG,WSFM
1947-03,,0,0,8,3,0,0,0,22,1,0,0,22,0,0.8,1.61,58,4640,847,2.3,,0.9,37.7,45,30.4,,,,,,,,,,,
1947-04,,0,0,13,9,0,0,0,5,0,5,0,30,0,0.2,1,75,5176,536,4.15,,0.6,47.1,55.7,38.6,,,,,,,,,,,
1947-05,,36,36,16,10,0,0,0,0,0,14,0,36,0,0,0.91,87,5463,287,4.36,,0,56.9,65.9,47.9,,,,,,,,,,,
1947-06,,133,97,7,3,0,0,0,0,0,19,0,46,0,0,1.11,89,5549,86,2.88,,0,65.4,74.4,56.3,,,,,,,,,,,
1947-07,,423,290,9,6,0,0,0,0,0,31,1,59,0,0,1.01,90,0,0,3.98,,0,74.3,82.1,66.5,,,,,,,,,,,
1947-08,,679,256,7,3,0,0,0,0,0,31,9,54,0,0,1.06,99,4,4,2.19,,0,73.1,81.8,64.5,,,,,,,,,,,
1947-09,,809,130,6,4,0,0,0,0,0,21,0,37,0,0,2.71,88,142,138,3.94,,0,64.7,73.4,56.1,,,,,,,,,,,
1947-10,,868,59,3,3,0,0,0,0,0,19,0,38,0,0,0.44,89,307,165,1.13,,0,61.6,71.5,51.7,,,,,,,,,,,
1947-11,,868,0,7,5,1,1,0,11,0,0,0,25,1,1,3.11,59,1021,714,5.13,,1.1,41.2,47.7,34.7,,,,,,,,,,,
1947-12,,868,0,11,8,14,8,0,28,8,0,0,12,10,8.3,1.22,60,2093,1071,3.95,,26.8,30.4,37.9,23,,,,,,,,,,,
1948-01,,0,0,14,9,30,11,1,31,17,0,0,-3,21,7.3,1.11,45,3384,1291,5.12,,32.5,23.3,30.3,16.4,,,,,,,,,,,
1948-02,,0,0,11,6,25,6,0,28,14,0,0,2,17,6.6,0.83,54,4489,1105,2.09,,17,26.9,35.5,18.3,,,,,,,,,,,
1948-03,,0,0,13,9,12,3,0,19,4,1,0,1,10,6.5,0.86,72,5326,837,3.13,,11.8,38,47.1,28.9,,,,,,,,,,,
1948-04,,0,0,10,6,0,0,0,4,0,3,0,30,0,0,0.64,74,5837,511,2.62,,0,48,56.5,39.4,,,,,,,,,,,
1948-05,,2,2,16,11,0,0,0,0,0,7,0,42,0,0,1.52,83,6150,313,5.37,,0,55,62.1,47.8,,,,,,,,,,,
1948-06,,74,72,12,9,0,0,0,0,0,18,1,47,0,0,0.78,92,6262,112,4.5,,0,63.6,71.8,55.5,,,,,,,,,,,
1948-07,,371,297,11,9,0,0,0,0,0,31,5,53,0,0,0.9,96,2,2,4.53,,0,74.5,83.9,65.1,,,,,,,,,,,
1948-08,,642,271,7,6,0,0,0,0,0,31,5,58,0,0,0.46,100,4,1,1.25,,0,73.7,82.3,65.1,,,,,,,,,,,
1948-09,,738,96,5,3,0,0,0,0,0,22,1,44,0,0,0.26,90,78,75,0.67,,0,65.7,75.2,56.2,,,,,,,,,,,
1948-10,,747,8,10,8,0,0,0,0,0,7,0,33,0,0,1.34,79,419,341,4.84,,0,54.3,62.3,46.2,,,,,,,,,,,
1948-11,,747,0,15,10,1,1,0,2,0,3,0,28,1,1.1,1.81,73,880,461,5.17,,1.1,49.6,56.1,43.2,,,,,,,,,,,
1948-12,,747,0,9,4,9,1,0,15,5,0,0,7,4,4.6,0.52,58,1770,890,1.25,,5.5,36.3,42.6,30,,,,,,,,,,,
1949-01,,0,0,9,7,6,3,0,21,5,0,0,14,6,6.5,0.69,60,2711,940,3.21,,13.7,34.7,41.7,27.6,,,,,,,,,,,
