DATE,AWND,CDSD,CLDD,DP01,DP10,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,HTDD,PRCP,PSUN,SNOW,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WSF1,WSF2,WSF5,WSFG,WSFM
1937-04,,43,34,11,7,0,0,0,0,0,17,0,36,0,0,3.71,87,2720,192,8.61,,0,59.7,70.9,48.5,,,,,,,,,,,
1937-05,,252,209,9,6,0,0,0,0,0,28,6,48,0,0,1.05,94,2746,26,2.33,,0,70.9,82,59.8,,,,,,,,,,,
1937-06,,689,437,12,6,0,0,0,0,0,30,17,63,0,0,1.61,97,2746,0,6.07,,0,79.6,90.2,68.9,,,,,,,,,,,
1937-07,,1139,450,7,4,0,0,0,0,0,31,18,58,0,0,0.74,97,0,0,2.3,,0,79.5,89.6,69.5,,,,,,,,,,,
1937-08,,1588,449,17,11,0,0,0,0,0,31,20,66,0,0,1.06,95,0,0,5.5,,0,79.5,89.2,69.7,,,,,,,,,,,
1937-09,,1792,203,3,2,0,0,0,0,0,27,4,51,0,0,0.78,93,19,19,0.95,,0,71.1,81.1,61.2,,,,,,,,,,,
1937-10,,1830,38,12,11,0,0,0,1,0,14,0,29,0,0,2.39,85,249,230,6.3,,0,58.8,67.8,49.9,,,,,,,,,,,
1937-11,,1830,0,9,4,0,0,0,9,1,4,0,19,0,0,0.35,72,775,526,0.85,,0,47.5,57.3,37.6,,,,,,,,,,,
1937-12,,1830,0,6,4,0,0,0,11,1,0,0,10,0,0.7,0.84,69,1454,679,1.49,,0.7,43.1,52,34.2,,,,,,,,,,,
1938-01,,0,0,11,5,0,0,0,13,1,2,0,16,0,0.2,0.63,72,2135,681,1.87,,0.3,43,51.5,34.6,,,,,,,,,,,
1938-02,,0,0,5,3,0,0,0,4,0,9,0,28,0,0,0.5,75,2515,380,1.18,,0,51.4,61.5,41.4,,,,,,,,,,,
1938-03,,29,29,13,9,0,0,0,2,0,16,0,27,0,0,1.5,84,2748,232,5.99,,0,58.4,69.7,47.2,,,,,,,,,,,
1938-04,,75,46,9,7,0,0,0,1,0,20,0,32,0,0,2.21,85,2903,156,8.27,,0,61.3,72.8,49.9,,,,,,,,,,,
1938-05,,280,205,11,9,0,0,0,0,0,30,6,51,0,0,0.54,96,2915,12,1.87,,0,71.2,82,60.5,,,,,,,,,,,
1938-06,,588,308,13,10,0,0,0,0,0,30,8,59,0,0,2.48,94,2915,0,7.4,,0,75.3,85.3,65.2,,,,,,,,,,,
1938-07,,1028,440,10,7,0,0,0,0,0,31,15,59,0,0,1.07,98,0,0,3.88,,0,79.2,88.7,69.7,,,,,,,,,,,
1938-08,,1531,503,8,5,0,0,0,0,0,31,22,66,0,0,0.59,99,0,0,1.83,,0,81.2,91.7,70.7,,,,,,,,,,,
1938-09,,1809,278,7,4,0,0,0,0,0,30,10,46,0,0,2.64,96,12,12,3.47,,0,73.8,84.7,63,,,,,,,,,,,
1938-10,,1867,58,1,1,0,0,0,0,0,26,1,41,0,0,0.2,91,98,86,0.2,,0,64.1,77,51.2,,,,,,,,,,,
1938-11,,1883,15,8,7,0,0,0,7,0,12,0,21,0,0,2.42,79,442,344,4.76,,0,54,65,43.1,,,,,,,,,,,
1938-12,,1883,0,10,7,0,0,0,13,0,0,0,20,0,0,1.42,63,1103,661,2.94,,0,43.7,52.7,34.7,,,,,,,,,,,
1939-01,,0,0,12,7,0,0,0,10,0,0,0,25,0,0,0.86,68,1718,615,4.05,,0,45.2,55.1,35.3,,,,,,,,,,,
1939-02,,0,0,15,11,0,0,0,6,0,6,0,19,0,0,1.56,77,2146,428,9.35,,0,49.7,60.1,39.4,,,,,,,,,,,
1939-03,,9,9,12,6,0,0,0,3,0,15,0,30,0,0,1.36,84,2439,294,4.48,,0,55.8,67.2,44.5,,,,,,,,,,,
1939-04,,40,31,11,6,0,0,0,0,0,21,0,36,0,0,0.84,82,2616,177,2.36,,0,60.1,72.1,48.1,,,,,,,,,,,
1939-05,,216,176,14,10,0,0,0,0,0,27,3,41,0,0,0.87,92,2659,42,3.83,,0,69.3,80.2,58.4,,,,,,,,,,,
1939-06,,630,414,15,12,0,0,0,0,0,30,13,65,0,0,2.26,95,2659,0,7.52,,0,78.8,89,68.6,,,,,,,,,,,
1939-07,,1103,473,11,6,0,0,0,0,0,31,23,64,0,0,1.28,101,0,0,3.35,,0,80.3,91.1,69.4,,,,,,,,,,,
1939-08,,1498,395,10,8,0,0,0,0,0,31,8,62,0,0,2.49,99,0,0,5.91,,0,77.7,86.8,68.7,,,,,,,,,,,
1939-09,,1836,338,8,3,0,0,0,0,0,29,10,60,0,0,1.42,95,2,2,2.62,,0,76.2,86,66.4,,,,,,,,,,,
1939-10,,1936,100,3,0,0,0,0,0,0,25,0,36,0,0,0.07,89,112,110,0.12,,0,64.7,77,52.4,,,,,,,,,,,
1939-11,,1936,0,7,2,0,0,0,2,0,4,0,30,0,0,0.12,74,556,445,0.41,,0,50.2,61.2,39.2,,,,,,,,,,,
1939-12,,1936,0,7,5,0,0,0,9,0,2,0,24,0,0,1.08,72,1156,600,3.11,,0,45.6,55.6,35.7,,,,,,,,,,,
1940-01,,0,0,8,6,10,1,0,27,8,0,0,4,8,8.3,1.29,59,2252,1096,5.62,,8.3,29.6,38,21.2,,,,,,,,,,,
1940-02,,0,0,14,8,1,0,0,14,0,0,0,20,1,0,1.14,68,2922,669,3.83,,0,41.9,51.2,32.6,,,,,,,,,,,
1940-03,,0,0,13,11,0,0,0,6,0,7,0,26,0,0,1.41,79,3391,469,5.26,,0,49.9,60.6,39.1,,,,,,,,,,,
1940-04,,21,21,9,4,0,0,0,2,0,16,0,28,0,0,1.45,88,3584,193,2.77,,0,59.3,70.4,48.2,,,,,,,,,,,
1940-05,,160,139,10,6,0,0,0,0,0,27,6,40,0,0,0.53,94,3633,49,2.04,,0,67.9,80.3,55.5,,,,,,,,,,,
1940-06,,533,373,10,6,0,0,0,0,0,30,16,56,0,0,1.22,96,3633,0,3.41,,0,77.4,88.7,66.2,,,,,,,,,,,
1940-07,,912,379,13,12,0,0,0,0,0,29,12,58,0,0,1.77,98,2,2,8.82,,0,77.1,86.4,67.9,,,,,,,,,,,
1940-08,,1331,418,7,7,0,0,0,0,0,31,12,62,0,0,4.94,96,2,0,8.16,,0,78.5,88,69,,,,,,,,,,,
1940-09,,1566,235,4,3,0,0,0,0,0,28,7,44,0,0,2.46,95,39,37,3.07,,0,71.6,83.2,60,,,,,,,,,,,
1940-10,,1614,49,3,2,0,0,0,0,0,26,0,44,0,0,0.22,88,105,66,0.43,,0,64.5,77.5,51.4,,,,,,,,,,,
1940-11,,1614,0,11,8,0,0,0,6,0,8,0,19,0,0,1.11,76,515,410,3.3,,0,51.3,61.1,41.5,,,,,,,,,,,
1940-12,,1614,0,14,8,0,0,0,7,0,0,0,26,0,0,0.93,67,1057,542,4.39,,0,47.5,56.2,38.9,,,,,,,,,,,
1941-01,,0,0,9,5,0,0,0,14,0,0,0,26,0,0,0.47,67,1700,643,1.43,,0,44.2,53.4,35.1,,,,,,,,,,,
1941-02,,0,0,8,5,0,0,0,18,0,0,0,23,0,0,1.18,60,2407,707,1.91,,0,39.8,49.4,30.1,,,,,,,,,,,
1941-03,,0,0,15,9,0,0,0,10,0,0,0,22,0,0,1.39,67,2979,572,4.06,,0,46.5,57,36.1,,,,,,,,,,,
1941-04,,36,36,10,6,0,0,0,0,0,22,0,44,0,0,1.19,88,3057,78,3.12,,0,63.6,74.5,52.7,,,,,,,,,,,
1941-05,,295,259,3,2,0,0,0,0,0,31,11,44,0,0,0.27,97,3079,22,0.47,,0,72.6,85.2,60,,,,,,,,,,,
1941-06,,669,374,12,10,0,0,0,0,0,30,12,59,0,0,2.36,97,3079,0,4.99,,0,77.5,87.5,67.4,,,,,,,,,,,
1941-07,,1133,464,12,8,0,0,0,0,0,31,17,65,0,0,1.38,95,0,0,4.99,,0,80,89,71,,,,,,,,,,,
1941-08,,1597,464,8,6,0,0,0,0,0,31,17,64,0,0,2.27,97,0,0,4.31,,0,80,90.1,69.8,,,,,,,,,,,
1941-09,,1945,348,5,4,0,0,0,0,0,30,13,55,0,0,0.59,99,0,0,1.35,,0,76.6,87.7,65.4,,,,,,,,,,,
1941-10,,2121,176,3,3,0,0,0,0,0,27,5,44,0,0,0.35,91,43,43,0.57,,0,69.4,80,58.8,,,,,,,,,,,
1941-11,,2121,0,6,3,0,0,0,4,0,9,0,29,0,0,0.65,75,415,372,1.8,,0,52.6,63.3,41.9,,,,,,,,,,,
1941-12,,2121,0,9,6,0,0,0,6,0,1,0,28,0,0,2.8,74,948,533,6.98,,0,47.8,56.9,38.7,,,,,,,,,,,
1942-01,,0,0,7,6,0,0,0,11,2,1,0,13,0,0,0.86,70,1641,693,3.47,,0,42.7,53,32.3,,,,,,,,,,,
1942-02,,0,0,8,8,0,0,0,15,0,0,0,19,0,0,1.92,69,2332,691,3.84,,0,40.3,48.2,32.4,,,,,,,,,,,
1942-03,,6,6,12,9,1,1,0,2,0,8,0,29,4,3.7,3.14,78,2743,410,11.52,,3.7,52,61.7,42.2,,,,,,,,,,,
1942-04,,83,77,1,1,0,0,0,1,0,24,0,32,0,0,1.47,89,2857,115,1.47,,0,63.8,76.2,51.3,,,,,,,,,,,
1942-05,,249,165,10,6,0,0,0,0,0,30,1,45,0,0,1.61,90,2871,14,5.29,,0,69.9,80.3,59.5,,,,,,,,,,,
1942-06,,632,383,8,7,0,0,0,0,0,30,12,60,0,0,0.95,94,2871,0,3.61,,0,77.8,87.4,68.1,,,,,,,,,,,
1942-07,,1110,478,13,8,0,0,0,0,0,31,19,66,0,0,1.38,96,0,0,4.6,,0,80.4,90.2,70.7,,,,,,,,,,,
1942-08,,1503,394,16,9,0,0,0,0,0,31,11,58,0,0,1.28,97,0,0,5.53,,0,77.7,87.3,68.1,,,,,,,,,,,
1942-09,,1759,256,9,7,0,0,0,0,0,27,7,43,0,0,1.36,92,34,34,5.73,,0,72.4,82.7,62.1,,,,,,,,,,,
1942-10,,1794,35,9,7,0,0,0,0,0,24,0,33,0,0,0.9,83,114,80,3.86,,0,63.5,73.9,53.2,,,,,,,,,,,
1942-11,,1801,7,3,3,0,0,0,2,0,12,0,29,0,0,0.88,80,440,326,1.38,,0,54.3,64.9,43.8,,,,,,,,,,,
1942-12,,1801,0,14,9,0,0,0,10,0,0,0,19,0,0,1.17,69,1097,657,5.33,,0,43.8,52.2,35.4,,,,,,,,,,,
1943-01,,5,5,7,5,0,0,0,11,0,4,0,17,0,0,2.68,76,1682,584,6.09,,0,46.3,55.3,37.3,,,,,,,,,,,
1943-02,,5,0,6,2,0,0,0,11,1,2,0,13,0,0,0.45,74,2189,508,0.99,,0,46.9,57.3,36.5,,,,,,,,,,,
1943-03,,6,1,15,11,0,0,0,7,0,5,0,14,0,0.4,1.4,78,2640,450,8.03,,0.4,50.5,60.2,40.9,,,,,,,,,,,
1943-04,,65,58,8,6,0,0,0,1,0,19,0,32,0,0,2.65,88,2805,166,5.7,,0,61.4,72.2,50.6,,,,,,,,,,,
1943-05,,290,225,6,5,0,0,0,0,0,30,1,49,0,0,1.09,90,2812,7,3.76,,0,72,82.5,61.6,,,,,,,,,,,
1943-06,,778,487,10,7,0,0,0,0,0,30,23,67,0,0,2.22,100,2812,0,6.63,,0,81.2,92,70.5,,,,,,,,,,,
1943-07,,1242,464,16,7,0,0,0,0,0,30,20,61,0,0,0.68,98,0,0,2.7,,0,79.9,89.9,70,,,,,,,,,,,
1943-08,,1733,491,10,7,0,0,0,0,0,31,23,61,0,0,0.94,100,0,0,2.69,,0,80.9,91.3,70.4,,,,,,,,,,,
1943-09,,1923,190,8,7,0,0,0,0,0,28,5,52,0,0,0.92,94,20,19,2.37,,0,70.7,80.5,60.9,,,,,,,,,,,
1943-10,,1960,37,4,1,0,0,0,0,0,20,0,35,0,0,0.3,85,186,166,0.47,,0,60.8,71.4,50.3,,,,,,,,,,,
1943-11,,1964,4,5,4,0,0,0,5,0,7,0,27,0,0,1.86,78,612,426,2.61,,0,51,62,39.9,,,,,,,,,,,
1943-12,,1965,0,7,3,0,0,0,13,2,3,0,16,0,0,1.74,73,1248,636,2.38,,0,44.5,52.6,36.5,,,,,,,,,,,
1944-01,,0,0,7,5,0,0,0,10,0,1,0,23,0,0,1.6,72,1887,639,3.87,,0,44.4,52.3,36.4,,,,,,,,,,,
1944-02,,12,12,18,11,0,0,0,5,0,5,0,16,0,0,1.15,76,2323,437,7.18,,0,50.4,58.3,42.4,,,,,,,,,,,
1944-03,,12,0,13,11,0,0,0,3,0,12,0,27,0,0,1.3,81,2698,375,5.93,,0,52.9,63.4,42.4,,,,,,,,,,,
1944-04,,43,31,14,10,0,0,0,2,0,20,0,31,0,0,2.55,82,2875,177,6.63,,0,60.1,70.7,49.5,,,,,,,,,,,
1944-05,,312,269,8,3,0,0,0,0,0,29,10,38,0,0,0.93,92,2907,33,1.65,,0,72.6,84.3,61,,,,,,,,,,,
1944-06,,766,454,7,2,0,0,0,0,0,30,21,59,0,0,0.3,101,2907,0,0.74,,0,80.1,91.2,69.1,,,,,,,,,,,
1944-07,,1179,414,12,7,0,0,0,0,0,31,17,63,0,0,0.54,100,0,0,2.31,,0,78.3,88.9,67.7,,,,,,,,,,,
1944-08,,1563,384,13,6,0,0,0,0,0,30,8,57,0,0,0.37,94,5,5,1.47,,0,77.2,85.9,68.6,,,,,,,,,,,
1944-09,,1821,258,11,6,0,0,0,0,0,28,5,57,0,0,1.94,95,9,4,3.45,,0,73.5,81.9,65,,,,,,,,,,,
1944-10,,1882,61,6,4,0,0,0,0,0,22,0,38,0,0,0.54,86,136,128,1.09,,0,62.8,73.8,51.9,,,,,,,,,,,
