60.8036,-144.8644,38.3,2.9,ml,ak02313snd2a,ak
-22.1207,-175.4364,43.479,4.7,mb,us6000jiv5,us
37.2088,-97.8154,5,2.6,mb_lg,us6000jiv0,us
2.8173,126.9755,53.755,4.5,mb,us6000jiuy,us
19.04116631,-155.4158325,31.39999962,2.81,ml,hv73311287,hv
60.2015,-150.9461,55.6,3,ml,ak02313s004b,ak
19.33099937,-155.5025024,2.839999914,2.56,ml,hv73311277,hv
2.657,126.8553,49.8,4.3,mb,us6000jiut,us
2.873,126.9762,48.303,4.5,mb,us6000jiuq,us
42.0325,-124.457,-0.43,2.65,ml,uw61894547,uw
2.7674,127.1561,35,4.5,mb,us6000jiui,us
-20.6561,-177.6509,382.398,4.4,mb,us6000jiuj,us
2.8152,127.0691,35,4.9,mb,us6000jiud,us
2.9666,127.1382,35,4.5,mb,us6000jiua,us
2.9174,127.1702,35,4.6,mb,us6000jiu4,us
2.949,127.1119,35,5.4,mb,us6000jitx,us
2.8291,126.8647,35,4.7,mb,us6000jitw,us
42.03933333,-124.3936667,6.47,2.65,ml,uw61894537,uw
2.8162,126.9434,35,5.8,mww,us6000jitq,us
45.8392,143.2519,332.997,4.1,mb,us6000jitp,us
2.7647,126.9115,19.977,5.1,mww,us6000jiti,us
18.29833333,-65.74066667,127.66,3.36,md,pr71394148,pr
43.3128,-127.2549,10,3,ml,us6000jit7,us
-5.4748,104.3869,81.614,4.5,mb,us6000jit5,us
-30.5569,-71.8736,26.391,3.9,mwr,us6000jisz,us
-22.6311,-66.3455,256.607,4.2,mb,us6000jisy,us
-18.3802,-177.8302,567.066,4.4,mb,us6000jit2,us
69.5383,-144.7274,1.9,4,ml,ak02312e4ly8,ak
20.29383333,-156.6108333,4.54,2.51,md,hv73311012,hv
2.8806,127.0996,11.958,5.5,mb,us6000jirz,us
19.03549957,-155.412674,32.38000107,2.57,ml,hv73310947,hv
18.84816667,-64.62883333,11.03,3.18,md,pr71394133,pr
2.7517,126.938,35.081,5,mb,us7000j6e6,us
2.7595,127.0544,49.772,4.6,mb,us7000j6cn,us
-5.512,147.1636,199.263,4.6,mb,us7000j6ci,us
2.9642,127.0078,57.251,4.5,mb,us7000j6cd,us
